Character,Strokes,Grade,English meaning,Readings
旨,6,S,delicious,シ、むね
伺,7,S,pay respects,シ、うかが-う
刺,8,S,thorn,シ、さ-す、さ-さる
祉,8,S,welfare,シ
肢,8,S,limb,シ
施,9,S,carry out,シ、セ、ほどこ-す
恣,10,S,selfish,シ
脂,10,S,fat,シ、あぶら
紫,12,S,purple,シ、むらさき
嗣,13,S,heir,シ
雌,14,S,feminine,シ、め、めす
摯,15,S,seriousness,シ
賜,15,S,grant,シ、たまわ-る
諮,16,S,consult with,シ、はか-る
侍,8,S,waiter,ジ、さむらい
慈,13,S,mercy,ジ、いつく-しむ
餌,15,S,bait,ジ、えさ、え
璽,19,S,emperor's seal,ジ
軸,12,S,axis,ジク
𠮟,5,S,scold,シツ、しか-る
疾,10,S,rapidly,シツ
執,11,S,tenacious,シツ、シュウ、と-る
湿,12,S,damp,シツ、しめ-る、しめ-す
嫉,13,S,envy,シツ
漆,14,S,lacquer,シツ、うるし
芝,6,S,turf,しば
赦,11,S,pardon,シャ
斜,11,S,diagonal,シャ、なな-め
煮,12,S,boil,シャ、に-る、に-える、に-やす
遮,14,S,intercept,シャ、さえぎ-る
邪,8,S,wicked,ジャ
蛇,11,S,snake,ジャ、ダ、へび
酌,10,S,bartending,シャク、く-む
釈,11,S,explanation,シャク
爵,17,S,baron,シャク
寂,11,S,loneliness,ジャク、（セキ）、さび、さび-しい、さび-れる
朱,6,S,vermilion,シュ
狩,9,S,hunt,シュ、か-る、か-り
殊,10,S,particularly,シュ、こと
珠,10,S,pearl,シュ
腫,13,S,tumor,シュ、は-れる、は-らす
趣,15,S,gist,シュ、おもむき
寿,7,S,longevity,ジュ、ことぶき
呪,8,S,curse,ジュ、のろ-う
需,14,S,demand,ジュ
儒,16,S,Confucian,ジュ
囚,5,S,captured,シュウ
舟,6,S,boat,シュウ、ふね、（ふな）
秀,7,S,excel,シュウ、ひい-でる
臭,9,S,stinking,シュウ、くさ-い、にお-う
袖,10,S,sleeve,シュウ、そで
羞,11,S,feel ashamed,シュウ
愁,13,S,distress,シュウ、うれ-える、うれ-い
酬,13,S,repay,シュウ
醜,17,S,ugly,シュウ、みにく-い
蹴,19,S,kick,シュウ、け-る
襲,22,S,attack,シュウ、おそ-う
汁,5,S,soup,ジュウ、しる
充,6,S,allot,ジュウ、あ-てる
柔,9,S,tender,ジュウ、ニュウ、やわ-らか、やわ-らかい
渋,11,S,astringent,ジュウ、しぶ、しぶ-い、しぶ-る
銃,14,S,gun,ジュウ
獣,16,S,animal,ジュウ、けもの
叔,8,S,uncle,シュク
淑,11,S,graceful,シュク
粛,11,S,solemn,シュク
塾,14,S,cram school,ジュク
俊,9,S,genius,シュン
瞬,18,S,wink,シュン、またた-く
旬,6,S,10-day period (of the month),ジュン、（シュン）
巡,6,S,patrol,ジュン、めぐ-る
盾,9,S,shield,ジュン、たて
准,10,S,quasi-,ジュン
殉,10,S,martyrdom,ジュン
循,12,S,sequential,ジュン
潤,15,S,wet,ジュン、うるお-う、うるお-す、うる-む
遵,15,S,abide by,ジュン
庶,11,S,commoner,ショ
緒,14,S,thong,ショ、（チョ）、お
如,6,S,likeness,ジョ、ニョ
叙,9,S,confer,ジョ
徐,10,S,gradually,ジョ
升,4,S,measuring box,ショウ、ます
召,5,S,summon,ショウ、め-す
匠,6,S,artisan,ショウ
床,7,S,bed,ショウ、とこ、ゆか
抄,7,S,extract,ショウ
肖,7,S,resemblance,ショウ
尚,8,S,esteem,ショウ
昇,8,S,rise up,ショウ、のぼ-る
沼,8,S,marsh,ショウ、ぬま
宵,10,S,wee hours,ショウ、よい
症,10,S,symptoms,ショウ
祥,10,S,auspicious,ショウ
称,10,S,appellation,ショウ
渉,11,S,ford,ショウ
紹,11,S,introduce,ショウ
訟,11,S,sue,ショウ
掌,12,S,manipulate,ショウ
晶,12,S,sparkle,ショウ
焦,12,S,char,ショウ、こ-げる、こ-がす、こ-がれる、あせ-る
硝,12,S,nitrate,ショウ
粧,12,S,cosmetics,ショウ
詔,12,S,imperial edict,ショウ、みことのり
奨,13,S,exhort,ショウ
詳,13,S,detailed,ショウ、くわ-しい
彰,14,S,patent,ショウ
憧,15,S,desire,ショウ、あこが-れる
衝,15,S,collide,ショウ
償,17,S,reparation,ショウ、つぐな-う
礁,17,S,reef,ショウ
鐘,20,S,bell,ショウ、かね
丈,3,S,length,ジョウ、たけ
冗,4,S,superfluous,ジョウ
浄,9,S,clean,ジョウ
剰,11,S,surplus,ジョウ
畳,12,S,tatami mat,ジョウ、たた-む、たたみ
壌,16,S,lot,ジョウ
嬢,16,S,lass,ジョウ
錠,16,S,lock,ジョウ
譲,20,S,defer,ジョウ、ゆず-る
醸,20,S,brew,ジョウ、かも-す
拭,9,S,wipe,ショク、ふ-く、ぬぐ-う
殖,12,S,augment,ショク、ふ-える、ふ-やす
飾,13,S,decorate,ショク、かざ-る
触,13,S,contact,ショク、ふ-れる、さわ-る
嘱,15,S,entrust,ショク
辱,10,S,embarrass,ジョク、はずかし-める
尻,5,S,buttocks,しり
伸,7,S,lengthen,シン、の-びる、の-ばす、の-べる
芯,7,S,core,シン
辛,7,S,spicy,シン、から-い
侵,9,S,encroach,シン、おか-す
津,9,S,haven,シン、つ
唇,10,S,lips,シン、くちびる
娠,10,S,with child,シン
振,10,S,shake,シン、ふ-る、ふ-るう、ふ-れる
浸,10,S,immersed,シン、ひた-す、ひた-る
紳,11,S,sire,シン
診,12,S,checkup,シン、み-る
寝,13,S,lie down,シン、ね-る、ね-かす
慎,13,S,humility,シン、つつし-む
審,15,S,examine,シン
震,15,S,quake,シン、ふる-う、ふる-える
薪,16,S,fuel,シン、たきぎ
刃,3,S,blade,ジン、は
尽,6,S,exhaust,ジン、つ-くす、つ-きる、つ-かす
迅,6,S,swift,ジン
甚,9,S,tremendously,ジン、はなは-だ、はなは-だしい
陣,10,S,camp,ジン
尋,12,S,inquire,ジン、たず-ねる
腎,13,S,kidney,ジン
須,12,S,by all means,ス
吹,7,S,blow,スイ、ふ-く
炊,8,S,cook,スイ、た-く
帥,9,S,commander,スイ
粋,10,S,chic,スイ、いき
衰,10,S,decline,スイ、おとろ-える
酔,11,S,drunk,スイ、よ-う
遂,12,S,consummate,スイ、と-げる
睡,13,S,drowsy,スイ
穂,15,S,ear,スイ、ほ
随,12,S,follow,ズイ
髄,19,S,marrow,ズイ
枢,8,S,hinge,スウ
崇,11,S,adore,スウ
据,11,S,set,す-える、す-わる
杉,7,S,cedar,すぎ
裾,13,S,cuff,すそ
瀬,19,S,rapids,せ
是,9,S,just so,ゼ
姓,8,S,surname,セイ、ショウ
征,8,S,subjugate,セイ
斉,8,S,adjusted,セイ
牲,9,S,animal sacrifice,セイ
凄,10,S,uncanny,セイ
逝,10,S,departed,セイ、ゆ-く、い-く
婿,12,S,bridegroom,セイ、むこ
誓,14,S,vow,セイ、ちか-う
請,15,S,solicit,セイ、（シン）、こ-う、う-ける
醒,16,S,be disillusioned,セイ
斥,5,S,reject,セキ
析,8,S,chop,セキ
脊,10,S,stature,セキ
隻,10,S,vessels,セキ
惜,11,S,pity,セキ、お-しい、お-しむ
戚,11,S,grieve,セキ
跡,13,S,tracks,セキ、あと
籍,20,S,enroll,セキ
拙,8,S,bungling,セツ、つたな-い
窃,9,S,stealth,セツ
摂,13,S,vicarious,セツ
仙,5,S,hermit,セン
占,5,S,fortune telling,セン、し-める、うらな-う
扇,10,S,fan,セン、おうぎ
栓,10,S,plug,セン
旋,11,S,rotation,セン
煎,13,S,broil,セン、い-る
羨,13,S,envy,セン、うらや-む、うらや-ましい
腺,13,S,gland,セン
詮,13,S,discussion,セン
践,13,S,tread,セン
箋,14,S,paper,セン
潜,15,S,submerge,セン、ひそ-む、もぐ-る
遷,15,S,transition,セン
薦,16,S,recommend,セン、すす-める
繊,17,S,slender,セン
鮮,17,S,fresh,セン、あざ-やか
禅,13,S,Zen,ゼン
漸,14,S,steadily,ゼン
膳,16,S,tray,ゼン
繕,18,S,darning,ゼン、つくろ-う
狙,8,S,aim at,ソ、ねら-う
阻,8,S,thwart,ソ、はば-む
租,10,S,tariff,ソ
措,11,S,set aside,ソ
粗,11,S,coarse,ソ、あら-い
疎,12,S,alienate,ソ、うと-い、うと-む
訴,12,S,sue,ソ、うった-える
塑,13,S,model,ソ
遡,14,S,go upstream,ソ、さかのぼ-る
礎,18,S,cornerstone,ソ、いしずえ
双,4,S,pair,ソウ、ふた
壮,6,S,robust,ソウ
荘,9,S,villa,ソウ
捜,10,S,search,ソウ、さが-す
挿,10,S,insert,ソウ、さ-す
桑,10,S,mulberry,ソウ、くわ
掃,11,S,sweep,ソウ、は-く
曹,11,S,cadet,ソウ
曽,11,S,formerly,ソウ、（ゾ）
爽,11,S,refreshing,ソウ、さわ-やか
喪,12,S,miss,ソウ、も
痩,12,S,get thin,ソウ、や-せる
葬,12,S,interment,ソウ、ほうむ-る
僧,13,S,Buddhist priest,ソウ
遭,14,S,encounter,ソウ、あ-う
槽,15,S,vat,ソウ
踪,15,S,remains,ソウ
燥,17,S,parch,ソウ
霜,17,S,frost,ソウ、しも
騒,18,S,boisterous,ソウ、さわ-ぐ
藻,19,S,seaweed,ソウ、も
憎,14,S,hate,ゾウ、にく-む、にく-い、にく-らしい、にく-しみ
贈,18,S,presents,ゾウ、（ソウ）、おく-る
即,7,S,instant,ソク
促,9,S,stimulate,ソク、うなが-す
捉,10,S,capture,ソク、とら-える
俗,9,S,vulgar,ゾク
賊,13,S,burglar,ゾク
遜,14,S,humble,ソン
汰,7,S,luxury,タ
妥,7,S,gentle,ダ
唾,11,S,saliva,ダ、つば
堕,12,S,degenerate,ダ
惰,12,S,lazy,ダ
駄,14,S,burdensome,ダ
耐,9,S,resistant,タイ、た-える
怠,9,S,neglect,タイ、おこた-る、なま-ける
胎,9,S,womb,タイ
泰,10,S,peaceful,タイ
堆,11,S,piled high,タイ
袋,11,S,sack,タイ、ふくろ
逮,11,S,apprehend,タイ
替,12,S,exchange,タイ、か-える、か-わる
滞,13,S,stagnate,タイ、とどこお-る
戴,17,S,be crowned with,タイ
滝,13,S,waterfall,たき
択,7,S,choose,タク
沢,7,S,swamp,タク、さわ
卓,8,S,eminent,タク
拓,8,S,clear (the land),タク
託,10,S,consign,タク
濯,17,S,laundry,タク
諾,15,S,consent,ダク
濁,16,S,voiced,ダク、にご-る、にご-す
但,7,S,however,ただ-し
脱,11,S,undress,ダツ、ぬ-ぐ、ぬ-げる
奪,14,S,rob,ダツ、うば-う
棚,12,S,shelf,たな
誰,15,S,who (question word),だれ
丹,4,S,cinnabar,タン
旦,5,S,daybreak,タン、ダン
胆,9,S,gall bladder,タン
淡,11,S,thin,タン、あわ-い
嘆,13,S,sigh,タン、なげ-く、なげ-かわしい
端,14,S,edge,タン、はし、は、はた
綻,14,S,rip,タン、ほころ-びる
鍛,17,S,forge,タン、きた-える
弾,12,S,bullet,ダン、ひ-く、はず-む、たま
壇,16,S,podium,ダン、（タン）
恥,10,S,shame,チ、は-じる、はじ、は-じらう、は-ずかしい
致,10,S,(to) do,チ、いた-す
遅,12,S,slow,チ、おく-れる、おく-らす、おそ-い
痴,13,S,stupid,チ
稚,13,S,immature,チ
緻,16,S,fine (not coarse),チ
畜,10,S,livestock,チク
逐,10,S,pursue,チク
蓄,13,S,amass,チク、たくわ-える
秩,10,S,regularity,チツ
窒,11,S,plug up,チツ
嫡,14,S,legitimate wife,チャク
抽,8,S,pluck,チュウ
衷,9,S,inmost,チュウ
酎,10,S,sake,チュウ
鋳,15,S,casting,チュウ、い-る
駐,15,S,stop-over,チュウ
弔,4,S,condolences,チョウ、とむら-う
挑,9,S,challenge,チョウ、いど-む
彫,11,S,carve,チョウ、ほ-る
眺,11,S,stare,チョウ、なが-める
釣,11,S,angling,チョウ、つ-る
貼,12,S,paste,チョウ、は-る
超,12,S,transcend,チョウ、こ-える、こ-す
跳,13,S,hop,チョウ、は-ねる、と-ぶ
徴,14,S,indications,チョウ
嘲,15,S,ridicule,チョウ、あざけ-る
澄,15,S,lucidity,チョウ、す-む、す-ます
聴,17,S,listen,チョウ、き-く
懲,18,S,penal,チョウ、こ-りる、こ-らす、こ-らしめる
勅,9,S,imperial order,チョク
捗,10,S,make progress,チョク
沈,7,S,sink,チン、しず-む、しず-める
珍,9,S,rare,チン、めずら-しい
朕,10,S,majestic plural,チン
陳,11,S,exhibit,チン
鎮,18,S,tranquilize,チン、しず-める、しず-まる
椎,12,S,oak,ツイ
墜,15,S,crash,ツイ
塚,12,S,hillock,つか
漬,14,S,pickling,つ-ける、つ-かる
坪,8,S,two-mat area,つぼ
爪,4,S,claw,つめ、（つま）
鶴,21,S,crane,つる
呈,7,S,display,テイ
廷,7,S,courts,テイ
抵,8,S,resist,テイ
邸,8,S,residence,テイ
亭,9,S,pavilion,テイ
貞,9,S,upright,テイ
帝,9,S,sovereign,テイ
訂,9,S,revise,テイ
逓,10,S,relay,テイ
偵,11,S,spy,テイ
堤,12,S,dike,テイ、つつみ
艇,13,S,rowboat,テイ
締,15,S,tighten,テイ、し-まる、し-める
諦,16,S,abandon,テイ、あきら-める
泥,8,S,mud,デイ、どろ
摘,14,S,pinch,テキ、つ-む
滴,14,S,drip,テキ、しずく、したた-る
溺,13,S,drown,デキ、おぼ-れる
迭,8,S,transfer,テツ
哲,10,S,philosophy,テツ
徹,15,S,penetrate,テツ
撤,15,S,remove,テツ
添,11,S,annexed,テン、そ-える、そ-う
塡,13,S,fill in,テン
殿,13,S,Mr.,デン、テン、との、どの
斗,4,S,Big Dipper,ト
吐,6,S,spit,ト、は-く
妬,8,S,jealousy,ト、ねた-む
途,10,S,route,ト
渡,12,S,transit,ト、わた-る、わた-す
塗,13,S,paint,ト、ぬ-る
賭,16,S,gamble,ト、か-ける
奴,5,S,guy,ド
怒,9,S,angry,ド、いか-る、おこ-る
到,8,S,arrival,トウ
逃,9,S,escape,トウ、に-げる、に-がす、のが-す、のが-れる
倒,10,S,overthrow,トウ、たお-れる、たお-す
凍,10,S,frozen,トウ、こお-る、こご-える
唐,10,S,T'ang,トウ、から
桃,10,S,peach tree,トウ、もも
透,10,S,transparent,トウ、す-く、す-かす、す-ける
悼,11,S,lament,トウ、いた-む
盗,11,S,steal,トウ、ぬす-む
陶,11,S,pottery,トウ
塔,12,S,pagoda,トウ
搭,12,S,board,トウ
棟,12,S,ridgepole,トウ、むね、（むな）
痘,12,S,pox,トウ
筒,12,S,cylinder,トウ、つつ
稲,14,S,rice plant,トウ、いね、（いな）
踏,15,S,step,トウ、ふ-む、ふ-まえる
謄,17,S,mimeograph,トウ
藤,18,S,wisteria,トウ、ふじ
闘,18,S,fight,トウ、たたか-う
騰,20,S,inflation,トウ
洞,9,S,den,ドウ、ほら
胴,10,S,trunk,ドウ
瞳,17,S,pupil,ドウ、ひとみ
峠,9,S,mountain peak,とうげ
匿,10,S,hide,トク
督,13,S,coach,トク
篤,16,S,fervent,トク
凸,5,S,convex,トツ
突,8,S,stab,トツ、つ-く
屯,4,S,barracks,トン
豚,11,S,pork,トン、ぶた
頓,13,S,suddenly,トン
貪,11,S,covet,ドン、むさぼ-る
鈍,12,S,dull,ドン、にぶ-い、にぶ-る
曇,16,S,cloudy weather,ドン、くも-る
丼,5,S,bowl of food,どんぶり、（どん）
那,7,S,what,ナ
謎,17,S,riddle,なぞ
鍋,17,S,pot,なべ
軟,11,S,soft,ナン、やわ-らか、やわ-らかい
尼,5,S,nun,ニ、あま
弐,6,S,two (falsification prevention),ニ
匂,4,S,scent,にお-う
虹,9,S,rainbow,にじ
尿,7,S,urine,ニョウ
妊,7,S,pregnancy,ニン
忍,7,S,endure,ニン、しの-ぶ、しの-ばせる
寧,14,S,rather,ネイ
捻,11,S,twist,ネン
粘,11,S,sticky,ネン、ねば-る
悩,10,S,trouble,ノウ、なや-む、なや-ます
濃,16,S,concentrated,ノウ、こ-い
把,7,S,grasp,ハ
覇,19,S,hegemony,ハ
婆,11,S,old woman,バ
罵,15,S,insult,バ、ののし-る
杯,8,S,counter for cupfuls,ハイ、さかずき
排,11,S,repudiate,ハイ
廃,12,S,abolish,ハイ、すた-れる、すた-る
輩,15,S,comrade,ハイ
培,11,S,cultivate,バイ、つちか-う
陪,11,S,obeisance,バイ
媒,12,S,mediator,バイ
賠,15,S,compensation,バイ
伯,7,S,chief,ハク
拍,8,S,clap,ハク、（ヒョウ）
泊,8,S,overnight,ハク、と-まる、と-める
迫,8,S,urge,ハク、せま-る
剝,10,S,peel,ハク、は-がす、は-ぐ、は-がれる、は-げる
舶,11,S,liner,ハク
薄,16,S,dilute,ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる
漠,13,S,vague,バク
縛,16,S,truss,バク、しば-る
爆,19,S,explode,バク
箸,15,S,chopsticks,はし
肌,6,S,texture,はだ
鉢,13,S,bowl,ハチ、（ハツ）
髪,14,S,hair of the head,ハツ、かみ
伐,6,S,fell,バツ
抜,7,S,slip out,バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる
罰,14,S,penalty,バツ、バチ
閥,14,S,clique,バツ
氾,5,S,spread out,ハン
帆,6,S,sail,ハン、ほ
汎,6,S,pan-,ハン
伴,7,S,consort,ハン、バン、ともな-う
畔,10,S,paddy-ridge,ハン
般,10,S,generally,ハン
販,11,S,marketing,ハン
斑,12,S,blemish,ハン
搬,13,S,conveyor,ハン
煩,13,S,anxiety,ハン、（ボン）、わずら-う、わずら-わす
頒,13,S,partition,ハン
範,15,S,pattern,ハン
繁,16,S,luxuriant,ハン
藩,18,S,clan,ハン
蛮,12,S,barbarian,バン
盤,15,S,tray,バン
妃,6,S,queen,ヒ
彼,8,S,he,ヒ、かれ、（かの）
披,8,S,expose,ヒ
卑,9,S,lowly,ヒ、いや-しい、いや-しむ、いや-しめる
疲,10,S,exhausted,ヒ、つか-れる
被,10,S,incur,ヒ、こうむ-る
扉,12,S,front door,ヒ、とびら
碑,14,S,tombstone,ヒ
罷,15,S,quit,ヒ
避,16,S,evade,ヒ、さ-ける
尾,7,S,tail,ビ、お
眉,9,S,eyebrow,ビ、（ミ）、まゆ
微,13,S,delicate,ビ
膝,15,S,knee,ひざ
肘,7,S,elbow,ひじ
匹,4,S,equal,ヒツ、ひき
泌,8,S,ooze,ヒツ、ヒ
姫,10,S,princess,ひめ
漂,14,S,drift,ヒョウ、ただよ-う
苗,8,S,seedling,ビョウ、なえ、（なわ）
描,11,S,sketch,ビョウ、えが-く、か-く
猫,11,S,cat,ビョウ、ねこ
浜,10,S,seacoast,ヒン、はま
賓,15,S,V.I.P.,ヒン
頻,17,S,repeatedly,ヒン
敏,10,S,cleverness,ビン
瓶,11,S,flower pot,ビン
扶,7,S,aid,フ
怖,8,S,dreadful,フ、こわ-い
附,8,S,affixed,フ
訃,9,S,obituary,フ
赴,9,S,proceed,フ、おもむ-く
浮,10,S,floating,フ、う-く、う-かれる、う-かぶ、う-かべる
符,11,S,token,フ
普,12,S,universal,フ
腐,14,S,rot,フ、くさ-る、くさ-れる、くさ-らす
敷,15,S,spread,フ、し-く
膚,15,S,skin,フ
賦,15,S,levy,フ
譜,19,S,musical score,フ
侮,8,S,scorn,ブ、あなど-る
舞,15,S,dance,ブ、ま-う、まい
封,9,S,seal,フウ、ホウ
伏,6,S,prostrated,フク、ふ-せる、ふ-す
幅,12,S,breadth,フク、はば
覆,18,S,capsize,フク、おお-う、くつがえ-す、くつがえ-る
払,5,S,pay,フツ、はら-う
沸,8,S,seethe,フツ、わ-く、わ-かす
紛,10,S,distract,フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい
雰,12,S,atmosphere,フン
噴,15,S,erupt,フン、ふ-く
墳,15,S,tomb,フン
憤,15,S,aroused,フン、いきどお-る
丙,5,S,third class,ヘイ
併,8,S,join,ヘイ、あわ-せる
柄,9,S,design,ヘイ、がら、え
塀,12,S,fence,ヘイ
幣,15,S,cash,ヘイ
弊,15,S,abuse,ヘイ
蔽,15,S,cover,ヘイ
餅,15,S,mochi rice cake,ヘイ、もち
壁,16,S,wall,ヘキ、かべ
璧,18,S,sphere,ヘキ
癖,18,S,mannerism,ヘキ、くせ
蔑,14,S,ignore,ベツ、さげす-む
偏,11,S,partial,ヘン、かたよ-る
遍,12,S,everywhere,ヘン
哺,10,S,suckle,ホ
捕,10,S,catch,ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる
舗,15,S,pavement,ホ
募,12,S,recruit,ボ、つの-る
慕,14,S,pining,ボ、した-う
簿,19,S,register,ボ
芳,7,S,perfume,ホウ、かんば-しい
邦,7,S,home country,ホウ
奉,8,S,observance,ホウ、（ブ）、たてまつ-る
抱,8,S,embrace,ホウ、だ-く、いだ-く、かか-える
泡,8,S,bubbles,ホウ、あわ
胞,9,S,placenta,ホウ
俸,10,S,salary,ホウ
倣,10,S,emulate,ホウ、なら-う
峰,10,S,summit,ホウ、みね
砲,10,S,cannon,ホウ
崩,11,S,crumble,ホウ、くず-れる、くず-す
蜂,13,S,bee,ホウ、はち
飽,13,S,sated,ホウ、あ-きる、あ-かす
褒,15,S,praise,ホウ、ほ-める
縫,16,S,sew,ホウ、ぬ-う
乏,4,S,scarce,ボウ、とぼ-しい
忙,6,S,busy,ボウ、いそが-しい
坊,7,S,boy,ボウ、（ボッ）
妨,7,S,disturb,ボウ、さまた-げる
房,8,S,tassel,ボウ、ふさ
肪,8,S,obese,ボウ
某,9,S,so-and-so,ボウ
冒,9,S,risk,ボウ、おか-す
剖,10,S,divide,ボウ
紡,10,S,spinning,ボウ、つむ-ぐ
傍,12,S,bystander,ボウ、かたわ-ら
帽,12,S,cap,ボウ
貌,14,S,appearance,ボウ
膨,16,S,swell,ボウ、ふく-らむ、ふく-れる
謀,16,S,conspire,ボウ、（ム）、はか-る
頰,16,S,cheek,ほお
朴,6,S,crude,ボク
睦,13,S,harmonious,ボク
僕,14,S,me,ボク
墨,14,S,black ink,ボク、すみ
撲,15,S,slap,ボク
没,7,S,drown,ボツ
勃,9,S,rise,ボツ
堀,11,S,ditch,ほり
奔,8,S,bustle,ホン
翻,18,S,flip,ホン、ひるがえ-る、ひるがえ-す
凡,3,S,mediocre,ボン、（ハン）
盆,9,S,basin,ボン
麻,11,S,hemp,マ、あさ
摩,15,S,chafe,マ
磨,16,S,grind,マ、みが-く
魔,21,S,witch,マ
昧,9,S,foolish,マイ
埋,10,S,bury,マイ、う-める、う-まる、う-もれる
膜,14,S,membrane,マク
枕,8,S,pillow,まくら
又,2,S,or again,また
抹,8,S,rub,マツ
慢,14,S,ridicule,マン
漫,14,S,cartoon,マン
魅,15,S,fascination,ミ
岬,8,S,headland,みさき
蜜,14,S,honey,ミツ
妙,7,S,exquisite,ミョウ
眠,10,S,sleep,ミン、ねむ-る、ねむ-い
矛,5,S,halberd,ム、ほこ
霧,19,S,fog,ム、きり
娘,10,S,daughter,むすめ
冥,10,S,dark,メイ、ミョウ
銘,14,S,inscription,メイ
滅,13,S,destroy,メツ、ほろ-びる、ほろ-ぼす
免,8,S,excuse,メン、まぬか-れる
麺,16,S,noodles,メン
茂,8,S,overgrown,モ、しげ-る
妄,6,S,delusion,モウ、ボウ
盲,8,S,blind,モウ
耗,10,S,decrease,モウ、（コウ）
猛,11,S,fierce,モウ
網,14,S,netting,モウ、あみ
黙,15,S,silence,モク、だま-る
紋,10,S,family crest,モン
冶,7,S,melting,ヤ
弥,8,S,all the more,や
厄,4,S,unlucky,ヤク
躍,21,S,leap,ヤク、おど-る
闇,17,S,darkness,やみ
喩,12,S,metaphor,ユ
愉,12,S,pleasure,ユ
諭,16,S,rebuke,ユ、さと-す
癒,18,S,healing,ユ、い-える、い-やす
唯,11,S,solely,ユイ、（イ）
幽,9,S,seclude,ユウ
悠,11,S,permanence,ユウ
湧,12,S,boil,ユウ、わ-く
猶,12,S,furthermore,ユウ
裕,12,S,abundant,ユウ
雄,12,S,male,ユウ、お、おす
誘,14,S,entice,ユウ、さそ-う
憂,15,S,melancholy,ユウ、うれ-える、うれ-い、う-い
融,16,S,dissolve,ユウ
与,3,S,give,ヨ、あた-える
誉,13,S,reputation,ヨ、ほま-れ
妖,7,S,bewitching,ヨウ、あや-しい
庸,11,S,commonplace,ヨウ
揚,12,S,hoist,ヨウ、あ-げる、あ-がる
揺,12,S,swing,ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる
溶,13,S,melt,ヨウ、と-ける、と-かす、と-く
腰,13,S,loins,ヨウ、こし
瘍,14,S,boil (medical),ヨウ
踊,14,S,jump,ヨウ、おど-る、おど-り
窯,15,S,kiln,ヨウ、かま
擁,16,S,embrace,ヨウ
謡,16,S,noh chanting,ヨウ、うたい、うた-う
抑,7,S,repress,ヨク、おさ-える
沃,7,S,fertility,ヨク
翼,17,S,wing,ヨク、つばさ
拉,8,S,crush,ラ
裸,13,S,naked,ラ、はだか
羅,19,S,gauze,ラ
雷,13,S,thunder,ライ、かみなり
頼,16,S,trust,ライ、たの-む、たの-もしい、たよ-る
絡,12,S,entwine,ラク、から-む、から-まる、から-める
酪,13,S,dairy products,ラク
辣,14,S,bitter,ラツ
濫,18,S,excessive,ラン
藍,18,S,indigo,ラン、あい
欄,20,S,column,ラン
吏,6,S,officer,リ
痢,12,S,diarrhea,リ
履,15,S,footgear,リ、は-く
璃,15,S,glassy,リ
離,19,S,detach,リ、はな-れる、はな-す
慄,13,S,fear,リツ
柳,9,S,willow,リュウ、やなぎ
竜,10,S,dragon,リュウ、たつ
粒,11,S,grains,リュウ、つぶ
隆,11,S,hump,リュウ
硫,12,S,sulphur,リュウ
侶,9,S,companion,リョ
虜,13,S,captive,リョ
慮,15,S,prudence,リョ
了,2,S,finish,リョウ
涼,11,S,refreshing,リョウ、すず-しい、すず-む
猟,11,S,game-hunting,リョウ
陵,11,S,mausoleum,リョウ、みささぎ
僚,14,S,colleague,リョウ
寮,15,S,dormitory,リョウ
療,17,S,heal,リョウ
瞭,17,S,clear,リョウ
糧,18,S,provisions,リョウ、（ロウ）、かて
厘,9,S,thousandth,リン
倫,10,S,ethics,リン
隣,16,S,neighboring,リン、とな-る、となり
瑠,14,S,lapis lazuli,ル
涙,10,S,tears,ルイ、なみだ
累,11,S,accumulate,ルイ
塁,12,S,bases,ルイ
励,7,S,encourage,レイ、はげ-む、はげ-ます
戻,7,S,re-,レイ、もど-す、もど-る
鈴,13,S,small bell,レイ、リン、すず
零,13,S,zero,レイ
霊,15,S,spirits,レイ、リョウ、たま
隷,16,S,slave,レイ
齢,17,S,age,レイ
麗,19,S,lovely,レイ、うるわ-しい
暦,14,S,calendar,レキ、こよみ
劣,6,S,inferiority,レツ、おと-る
烈,10,S,ardent,レツ
裂,12,S,split,レツ、さ-く、さ-ける
恋,10,S,romance,レン、こ-う、こい、こい-しい
廉,13,S,bargain,レン
錬,16,S,tempering,レン
呂,7,S,spine,ロ
炉,8,S,hearth,ロ
賂,13,S,bribe,ロ
露,21,S,dew,ロ、（ロウ）、つゆ
弄,7,S,tamper with,ロウ、もてあそ-ぶ
郎,9,S,son,ロウ
浪,10,S,wandering,ロウ
廊,12,S,corridor,ロウ
楼,13,S,watchtower,ロウ
漏,14,S,leak,ロウ、も-る、も-れる、も-らす
籠,22,S,basket,ロウ、かご、こ-もる
麓,19,S,foot of a mountain,ロク、ふもと
賄,13,S,bribe;  board,ワイ、まかな-う
脇,10,S,aside,わき
惑,12,S,beguile,ワク、まど-う
枠,8,S,frame,わく
湾,12,S,gulf,ワン
腕,12,S,arm,ワン、うで
